Filename	Background file	Start point (s)	SNR
common_voice_he_38078769.mp3	noise-free-sound-0119.wav	31.75	0.44
common_voice_he_38078770.mp3	noise-free-sound-0840.wav	60.27	0.79
common_voice_he_38078771.mp3	noise-free-sound-0700.wav	23.71	0.24
common_voice_he_38078772.mp3	noise-free-sound-0248.wav	12.19	0.36
common_voice_he_38078773.mp3	noise-free-sound-0784.wav	18.64	1.33
common_voice_he_38078774.mp3	noise-free-sound-0551.wav	16.11	2.80
common_voice_he_38078775.mp3	noise-free-sound-0671.wav	14.07	1.80
common_voice_he_38078776.mp3	noise-free-sound-0572.wav	113.70	3.36
common_voice_he_38078777.mp3	noise-free-sound-0544.wav	72.08	2.62
common_voice_he_38078778.mp3	noise-free-sound-0698.wav	37.96	4.44
common_voice_he_38078779.mp3	noise-free-sound-0266.wav	3.99	5.02
common_voice_he_38078780.mp3	noise-free-sound-0293.wav	19.53	2.14
common_voice_he_38078781.mp3	noise-free-sound-0239.wav	18.11	2.08
common_voice_he_38078782.mp3	noise-free-sound-0572.wav	5.69	0.91
common_voice_he_38078783.mp3	noise-free-sound-0031.wav	27.88	5.85
common_voice_he_38078784.mp3	noise-free-sound-0804.wav	5.94	0.32
common_voice_he_38078785.mp3	noise-free-sound-0035.wav	23.09	5.42
common_voice_he_38078786.mp3	noise-free-sound-0840.wav	61.12	1.99
common_voice_he_38078787.mp3	noise-free-sound-0560.wav	228.70	3.17
common_voice_he_38078788.mp3	noise-free-sound-0707.wav	15.87	2.42
common_voice_he_38085633.mp3	noise-free-sound-0594.wav	19.87	3.28
common_voice_he_38085634.mp3	noise-free-sound-0301.wav	168.65	3.68
common_voice_he_38085635.mp3	noise-free-sound-0533.wav	23.78	2.22
common_voice_he_38085636.mp3	noise-free-sound-0634.wav	19.85	5.07
common_voice_he_38085637.mp3	noise-free-sound-0155.wav	18.10	3.31
common_voice_he_38085643.mp3	noise-free-sound-0020.wav	47.50	5.95
common_voice_he_38085644.mp3	noise-free-sound-0269.wav	26.16	4.16
common_voice_he_38085645.mp3	noise-free-sound-0544.wav	32.27	5.41
common_voice_he_38085646.mp3	noise-free-sound-0165.wav	8.71	1.51
common_voice_he_38085647.mp3	noise-free-sound-0436.wav	6.98	2.22
common_voice_he_38085648.mp3	noise-free-sound-0824.wav	16.53	3.68
common_voice_he_38085649.mp3	noise-free-sound-0600.wav	28.39	1.22
common_voice_he_38085650.mp3	noise-sound-bible-0059.wav	33.19	1.94
common_voice_he_38085651.mp3	noise-free-sound-0002.wav	64.52	4.43
common_voice_he_38085652.mp3	noise-free-sound-0280.wav	42.29	5.34
common_voice_he_38085653.mp3	noise-free-sound-0381.wav	7.15	2.63
common_voice_he_38085654.mp3	noise-free-sound-0677.wav	3.77	2.06
common_voice_he_38085655.mp3	noise-free-sound-0647.wav	6.76	5.17
common_voice_he_38085656.mp3	noise-sound-bible-0048.wav	50.37	3.46
common_voice_he_38085657.mp3	noise-free-sound-0454.wav	1.02	4.82
common_voice_he_38094114.mp3	noise-free-sound-0262.wav	20.42	1.09
common_voice_he_38094115.mp3	noise-free-sound-0677.wav	84.97	3.27
common_voice_he_38094116.mp3	noise-free-sound-0699.wav	73.76	4.79
common_voice_he_38094117.mp3	noise-free-sound-0726.wav	25.78	0.33
common_voice_he_38094118.mp3	noise-free-sound-0784.wav	6.02	5.01
common_voice_he_38094124.mp3	noise-free-sound-0752.wav	8.70	5.39
common_voice_he_38094125.mp3	noise-free-sound-0519.wav	3.97	2.92
common_voice_he_38094126.mp3	noise-free-sound-0699.wav	105.64	5.45
common_voice_he_38094127.mp3	noise-free-sound-0761.wav	0.78	5.41
common_voice_he_38094128.mp3	noise-free-sound-0272.wav	28.21	0.71
common_voice_he_38094978.mp3	noise-free-sound-0594.wav	124.88	1.41
common_voice_he_38094979.mp3	noise-free-sound-0605.wav	1.77	0.25
common_voice_he_38094980.mp3	noise-free-sound-0151.wav	41.36	1.46
common_voice_he_38094981.mp3	noise-free-sound-0533.wav	24.95	5.00
common_voice_he_38094983.mp3	noise-free-sound-0287.wav	2.37	0.47
common_voice_he_38104806.mp3	noise-free-sound-0154.wav	52.42	5.97
common_voice_he_38104807.mp3	noise-free-sound-0032.wav	25.68	5.67
common_voice_he_38104808.mp3	noise-free-sound-0105.wav	276.38	5.12
common_voice_he_38104809.mp3	noise-free-sound-0726.wav	102.16	4.66
common_voice_he_38104810.mp3	noise-free-sound-0592.wav	23.08	0.67
common_voice_he_38104821.mp3	noise-free-sound-0784.wav	6.35	0.33
common_voice_he_38104822.mp3	noise-free-sound-0568.wav	41.72	1.18
common_voice_he_38104823.mp3	noise-free-sound-0436.wav	6.67	3.49
common_voice_he_38104824.mp3	noise-free-sound-0232.wav	15.12	2.42
common_voice_he_38104825.mp3	noise-free-sound-0381.wav	17.50	5.62
common_voice_he_38104831.mp3	noise-free-sound-0165.wav	21.85	2.63
common_voice_he_38104832.mp3	noise-free-sound-0459.wav	17.06	3.44
common_voice_he_38104833.mp3	noise-free-sound-0567.wav	56.76	2.42
common_voice_he_38104834.mp3	noise-free-sound-0370.wav	16.46	5.84
common_voice_he_38104835.mp3	noise-free-sound-0451.wav	10.99	3.21
common_voice_he_38115876.mp3	noise-free-sound-0792.wav	12.03	1.75
common_voice_he_38115877.mp3	noise-free-sound-0055.wav	6.88	5.83
common_voice_he_38115878.mp3	noise-free-sound-0545.wav	19.32	1.34
common_voice_he_38115879.mp3	noise-free-sound-0754.wav	61.84	3.61
common_voice_he_38115880.mp3	noise-free-sound-0818.wav	29.15	2.44
common_voice_he_38118859.mp3	noise-free-sound-0634.wav	2.91	1.82
common_voice_he_38118860.mp3	noise-free-sound-0544.wav	51.48	4.81
common_voice_he_38118861.mp3	noise-free-sound-0723.wav	41.67	1.96
common_voice_he_38118862.mp3	noise-free-sound-0545.wav	24.52	1.28
common_voice_he_38118863.mp3	noise-free-sound-0340.wav	14.96	4.65
common_voice_he_38118865.mp3	noise-free-sound-0382.wav	23.21	5.70
common_voice_he_38118866.mp3	noise-free-sound-0634.wav	1.76	2.14
common_voice_he_38118867.mp3	noise-free-sound-0649.wav	36.57	5.17
common_voice_he_38118868.mp3	noise-free-sound-0754.wav	2.67	5.92
common_voice_he_38118869.mp3	noise-free-sound-0647.wav	29.12	5.32
common_voice_he_38118870.mp3	noise-free-sound-0804.wav	35.03	4.26
common_voice_he_38118871.mp3	noise-free-sound-0322.wav	15.82	3.70
common_voice_he_38118872.mp3	noise-free-sound-0818.wav	36.64	2.08
common_voice_he_38118873.mp3	noise-free-sound-0254.wav	4.53	5.10
common_voice_he_38118874.mp3	noise-free-sound-0184.wav	8.51	1.67
common_voice_he_38118875.mp3	noise-free-sound-0278.wav	10.39	1.29
common_voice_he_38118876.mp3	noise-free-sound-0177.wav	76.94	4.70
common_voice_he_38118877.mp3	noise-free-sound-0787.wav	9.28	4.48
common_voice_he_38118878.mp3	noise-free-sound-0594.wav	44.31	5.37
common_voice_he_38118879.mp3	noise-free-sound-0752.wav	25.41	2.77
common_voice_he_38130908.mp3	noise-free-sound-0671.wav	10.74	2.25
common_voice_he_38130909.mp3	noise-free-sound-0545.wav	4.95	3.35
common_voice_he_38130910.mp3	noise-free-sound-0161.wav	15.07	0.44
common_voice_he_38130911.mp3	noise-free-sound-0262.wav	27.04	3.34
common_voice_he_38130912.mp3	noise-free-sound-0560.wav	229.42	3.09
common_voice_he_38130913.mp3	noise-free-sound-0247.wav	69.14	1.54
common_voice_he_38130914.mp3	noise-free-sound-0641.wav	8.03	3.61
common_voice_he_38130915.mp3	noise-free-sound-0152.wav	37.65	0.30
common_voice_he_38130916.mp3	noise-free-sound-0708.wav	47.24	0.83
common_voice_he_38130917.mp3	noise-free-sound-0594.wav	7.38	4.88
common_voice_he_38130918.mp3	noise-free-sound-0780.wav	21.85	1.12
common_voice_he_38130919.mp3	noise-free-sound-0726.wav	99.35	2.76
common_voice_he_38130920.mp3	noise-free-sound-0726.wav	48.27	2.20
common_voice_he_38130921.mp3	noise-free-sound-0012.wav	6.96	3.67
common_voice_he_38130922.mp3	noise-free-sound-0497.wav	170.50	3.77
common_voice_he_38130923.mp3	noise-free-sound-0681.wav	46.39	2.64
