Filename,Reference Text,Transcribed Text,wer,wer c
common_voice_he_40001956,לְֽפִי־שִׂ֭כְלוֹ יְהֻלַּל־אִ֑ישׁ וְנַעֲוֵה־לֵ֝֗ב יִהְיֶ֥ה לָבֽוּז׃,"לפי שכלו יהולל איש, ונעבה לב יהיה לבוז.",1.6,2000
common_voice_he_38142067,זְקֵנָה עַל מִטָּתָהּ בָּאֹפֶל מִתְאַנַּחַת,זקינה על מיטתה באופל מטענה אחת.,1.2,0
common_voice_he_38568967,רְאִיתִיהָ בְּעִיר־הַבִּירָה בְּטֶרֶם עָלִיתִי אַרְצָה.,"ראיתי אוויר אווירה, בטרם עליתי ארץ.",1.2,0
common_voice_he_38085646,הַגַּגּוֹן שֶׁל תֶּבֶן וְהַחַלּוֹנוֹת קְטַנִּים.,הגאול של שדה בל וחלונות קטנים,1.2,8000
common_voice_he_38094124,והנני קרה כשמש הסתיו,והילני תרע כשמש עשתה.,0.75,7500
common_voice_he_38118861,הירח מאוד בהיר הלילה.,הירח מאוד בהיל על העיגה.,0.75,0
common_voice_he_38623348,"וגם לבית־תפילה סרים בוודאי לפעמים, בשעת מצב־רוח",וגם לבית תפילה שרים בוודאי לפעמים בשעת מצב רוח.,0.8571,7143
common_voice_he_38623332,עשרים ותשעה ביוני אלפיים ואחת עשרה למניינם,29 ביוני 2011 למניינם,0.7143,0
common_voice_he_41486376,כִּ֭י אִם־יֵ֣שׁ אַחֲרִ֑ית וְ֝תִקְוָתְךָ֗ לֹ֣א תִכָּרֵֽת׃,כי אם יש אחרית ותקוותך לא תיכרת.,1.1667,6667
common_voice_he_38078773,כּוֹכְבֵי שָׁמַיִם זֶה עִם זֶה סָחִים,כאבי שמיים זה אם זה סכין.,1,5000
common_voice_he_40909677,לא אצל המובטלים ולא אצל החרדים,לא יוצא למובטלים ולא יוצא לחרדים.,0.6667,6667
common_voice_he_39753479,עשרים ותשעה באוקטובר אלף תשע מאות חמישים ושש היה יום קשה,29 באוקטובר 1956 היה יום קשה.,0.7273,5000
common_voice_he_38744647,לְעִסַּת הַחֲמוּרִים הִשְׁרְתָה מְנוּחָה בָּאָסָם,לעיסת החמורים נשרתה מנוחה באסמה.,1,6000
common_voice_he_38568964,ומשמתחילים לְדַבֵּר עַל הַבַּיִת – הָעֵינַיִים מְאִירוֹת בְּמִין בָּרָק מִתְגַעְגֵעַ וְחוֹלֵם.,ומשמתחילים לדבר הבית העיניים מהירות במדברת אנרגיה וחוללת.,0.9091,0
common_voice_he_38078783,"רוח צוננת, חדה, השתוללה ברחובות.",רוח צורננו חטא השתוללה ברכבות.,0.6,0
common_voice_he_39659796,נְצֹ֣ר בְּ֭נִי מִצְוַ֣ת אָבִ֑יךָ וְאַל־תִּ֝טֹּ֗שׁ תּוֹרַ֥ת אִמֶּֽךָ׃,נצור בני מצוות אביך ואל תיטוש תורת אמך.,1.1429,5714
common_voice_he_38118870,"לְהַתְקִין מַלְכֹּדֶת לַתַּרְנְגוֹלוֹת, שֶׁהֵחֵלּוּ לְהִתְחַצֵּף בַּשָּׁנִים הָאַחֲרוֹנוֹת",להתקין מלכודת את הנבולות  שהחלו להתחשב בשנים האחרונות.,1.1429,5714
common_voice_he_38196124,מה זה מאתיים שמונים ואחד אלף מובטלים,"מה זה 281,000 מובטלים?",0.7143,0
common_voice_he_40972184,בראשון-לציון לא מדובר בעשרים טונות גז,בראשיוני ציון לא מדובר ב-20 טונות גז.,0.6667,5714
common_voice_he_38142097,כוונתי להתרגשות סביב ה“מאורעות” בארץ־ישראל והקונגרסים הציוניים.,כוונתי להתרגשות סביבך מהוראות בארץ ישראל והקונגרסים הציוניים.,0.5714,0
common_voice_he_43281935,ואני נמצא פה משנת אלף תשע מאות שמונים ושמונה,ואני נמצא פה משנת 1988.,0.5556,5556
common_voice_he_39327112,הֲרֵיהוּ מְדַבֵּר בִּשְׂפַת סוּסִים.,הרי הוא מדבר בשפת סוסים.,1.25,0
common_voice_he_38118879,"אֲפִלּוּ הַגּוֹי מֵהַכְּפָר שֶׁלִּי, מֵאוּקְרָאִינָה, הָיָה קוֹבֵר עַצְמוֹ חַי מִקִּנְאָה.",אפילו הגוי מהכפר שלי מאוקראינה חיה כובל עצמו חי עם מטינה.,1.1,0
common_voice_he_38146666,"כַּאֲשֶׁר בָּאָה שַׁיֶּרֶת הַפְּלִיטִים, הָיָה יוֹסִי’לִי הַיֶּלֶד הַיָחִיד בֵּין כָּל אֵלֶּה שֶׁבָּאוּ",כאשר בא שיירת הפליטים היה יוסי הילד היחיד בין כל הילד של פאור.,1.0833,5000
common_voice_he_38568963,כָּל סֵמֶל הוּא מוּעָט הַמְּרַמֵּז לְהַרְבֵּה.,כל סמל מועט המרמת בהרבה,1,5000
common_voice_he_39327049,"בּוֹא אִתִּי, בּוֹא אִתִּי",בוא איתי בוא איתי,1,0
common_voice_he_38085637,אֵדַע אוֹתָהּ בִּזְמַן הַקָּרוֹב,עידה אותה בזמן הכלוף,1,0
common_voice_he_38085645,כְּשֶחָזַרְתִי רָאִיתִי בְּחַלוֹן בַּתַחֲנָה הַמֶרְכָּזִית אֶת ‘הַחֵטְא וענשו’,כשחדרתי ראיתי בחלון בתקנה המרכזית את החטא והונשוי.,1,5000
common_voice_he_38118867,"חֹסֶר מַיִם, לִכְלוּךְ מַבְהִיל, זְבוּבִים, וּמָעַל לְכָל – חוֹל.","חסר מים, לכלוך מפעיל,  זבובים, ומי על החול,  חול.",1,0
common_voice_he_39753641,הָעוֹלָם עָמוּס מַשָּׂא לַעֲיֵפָה,העולם עמוס מסע לעייפה,1,0
common_voice_he_39897724,אנחנו לקראת משהו באלפיים ושלוש עשרה,אנחנו לקראת משהו ב-2013.,0.5,5000
common_voice_he_41486374,כפל אגרה עשרים ושלושה אלף שקל,"כפל אגרה 23,000 שקל",0.5,0
common_voice_he_38078776,כִּי אַחֲרֵי הַכֹּל נִקְשָׁרִים לַמָּקוֹם וְלַאֲנָשִׁים בַּמִּדָּה שֶׁקָּשֶׁה לתארה בְּשָׁעָה שֶׁאַתְּ נִמְצֵאת בּוֹ.,כי אחרי הכל נקשרים למקום ואנשים במידה שקשה לטהרה בשעה שהתמותית.,1,0
common_voice_he_39327198,וְלֹ֤א זָֽכְרוּ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל אֶת־יְהוָ֖ה אֱלֹהֵיהֶ֑ם הַמַּצִּ֥יל אוֹתָ֛ם מִיַּ֥ד כָּל־אֹיְבֵיהֶ֖ם מִסָּבִֽיב׃,ולא זכרו בני ישראל את אדוני אלוהיהם המציל אותם מיד כל אויביהם מסביב.,1.1818,4545
